date,state,cfr,hospitals,hospitals_per_100k
2020-12-20,New York,4.23,215,1.1
2020-12-21,New York,4.2,215,1.1
2020-12-22,New York,4.17,215,1.1
2020-12-23,New York,4.13,215,1.1
2020-12-24,New York,4.08,215,1.1
2020-12-25,New York,4.04,215,1.1
2020-12-26,New York,4.01,215,1.1
2020-12-27,New York,3.99,215,1.1
2020-12-28,New York,3.95,215,1.1
2020-12-29,New York,3.92,215,1.1
2020-12-30,New York,3.88,215,1.1
2020-12-31,New York,3.84,215,1.1
2021-01-01,New York,3.79,215,1.1
2021-01-02,New York,3.74,215,1.1
2021-01-03,New York,3.71,215,1.1
2021-01-04,New York,3.69,215,1.1
2021-01-05,New York,3.65,215,1.1
2021-01-06,New York,3.62,215,1.1
2021-01-07,New York,3.57,215,1.1
2021-01-08,New York,3.53,215,1.1
2020-03-07,Kansas,0.0,169,5.805
2020-03-08,Kansas,0.0,169,5.805
2020-03-09,Kansas,0.0,169,5.805
2020-03-10,Kansas,0.0,169,5.805
2020-03-11,Kansas,0.0,169,5.805
2020-03-12,Kansas,20.0,169,5.805
2020-03-13,Kansas,16.67,169,5.805
2020-03-14,Kansas,12.5,169,5.805
2020-03-15,Kansas,11.11,169,5.805
2020-03-16,Kansas,9.09,169,5.805
2020-03-17,Kansas,5.88,169,5.805
2020-03-18,Kansas,4.55,169,5.805
2020-03-19,Kansas,2.86,169,5.805
2020-03-20,Kansas,2.04,169,5.805
2020-03-21,Kansas,3.51,169,5.805
2020-03-22,Kansas,3.03,169,5.805
2020-03-23,Kansas,2.44,169,5.805
2020-03-24,Kansas,2.94,169,5.805
2020-03-25,Kansas,2.24,169,5.805
2020-03-26,Kansas,1.73,169,5.805
2020-03-27,Kansas,1.88,169,5.805
2020-03-28,Kansas,2.21,169,5.805
2020-03-29,Kansas,2.1,169,5.805
2020-03-30,Kansas,2.41,169,5.805
2020-03-31,Kansas,2.3,169,5.805
2020-04-01,Kansas,2.25,169,5.805
2020-04-02,Kansas,2.53,169,5.805
2020-04-03,Kansas,3.04,169,5.805
2020-04-04,Kansas,2.99,169,5.805
2020-04-05,Kansas,2.99,169,5.805
2020-04-06,Kansas,2.93,169,5.805
2020-04-07,Kansas,3.31,169,5.805
2020-04-08,Kansas,3.6,169,5.805
2020-04-09,Kansas,3.76,169,5.805
2020-04-10,Kansas,4.24,169,5.805
2020-04-11,Kansas,4.29,169,5.805
2020-04-12,Kansas,4.19,169,5.805
2020-04-13,Kansas,4.55,169,5.805
2020-04-14,Kansas,4.79,169,5.805
2020-04-15,Kansas,5.06,169,5.805
2020-04-16,Kansas,5.02,169,5.805
2020-04-17,Kansas,4.85,169,5.805
2020-04-18,Kansas,4.73,169,5.805
2020-04-19,Kansas,4.96,169,5.805
2020-04-20,Kansas,4.98,169,5.805
2020-04-21,Kansas,5.06,169,5.805
2020-04-22,Kansas,4.85,169,5.805
2020-04-23,Kansas,4.27,169,5.805
2020-04-24,Kansas,4.12,169,5.805
2020-04-25,Kansas,3.85,169,5.805
2020-04-26,Kansas,3.75,169,5.805
2020-04-27,Kansas,3.7,169,5.805
2020-04-28,Kansas,3.53,169,5.805
2020-04-29,Kansas,3.46,169,5.805
2020-04-30,Kansas,3.09,169,5.805
2020-05-01,Kansas,3.02,169,5.805
2020-05-02,Kansas,2.88,169,5.805
